osmid,road type,length,geometry
37129329,tertiary,559.14,"MULTILINESTRING ((104.0385056 30.655493, 104.035726 30.6554868, 104.0385056 30.655493), (104.0385056 30.655493, 104.0386485 30.655487, 104.0385056 30.655493))"
584723997,residential,328.978,"LINESTRING (104.0386485 30.655487, 104.0388225 30.6554621, 104.0401505 30.6547859, 104.0388225 30.6554621, 104.0386485 30.655487)"
37129320,secondary,228.32700000000003,"LINESTRING (104.0385173 30.6613052, 104.038312 30.6613976, 104.0378505 30.6616026, 104.0365105 30.66241)"
844894020,primary,788.621,"LINESTRING (104.0385173 30.6613052, 104.038501 30.6615983, 104.0384945 30.6620603, 104.0384561 30.6633575, 104.0384306 30.6641564, 104.0383939 30.6651903, 104.038304 30.6677766, 104.0383036 30.6681932, 104.0383034 30.6683947)"
100305008,residential,593.851,"LINESTRING (104.0447108 30.6652114, 104.0433245 30.6626155, 104.0431289 30.6622258, 104.0421375 30.660414, 104.0421096 30.6603623)"
37129309,secondary,370.647,"LINESTRING (104.0422168 30.6603794, 104.0421375 30.660414, 104.0419582 30.6604869, 104.0417065 30.6605771, 104.0414078 30.6606759, 104.0409354 30.6607956, 104.0390736 30.6611122, 104.0387288 30.6611966, 104.0385173 30.6613052)"
910279283,secondary,992.385,"LINESTRING (104.0421871 30.660325, 104.042453 30.6601708, 104.0426675 30.6599966, 104.0428352 30.6598327, 104.0430028 30.6596516, 104.0431047 30.6594959, 104.0432402 30.6592559, 104.0434653 30.6588648, 104.0443493 30.6573074, 104.0445732 30.6570305, 104.0447462 30.6568529, 104.0449555 30.6566752, 104.0452973 30.6564499, 104.0454615 30.6563426, 104.0455688 30.6562725, 104.045774 30.6561561, 104.0459896 30.6560432, 104.0462269 30.6559321, 104.0465033 30.6558188, 104.0467911 30.6557247, 104.0472307 30.6555978, 104.0483216 30.6554533, 104.0494723 30.6553058, 104.0498175 30.6552314)"
37129336,unclassified,415.3420000000001,"MULTILINESTRING ((104.0451069 30.6559232, 104.0454615 30.6563426, 104.0451069 30.6559232), (104.0452373 30.6553527, 104.045012 30.6556434, 104.0449744 30.6557634, 104.0451069 30.6559232), (104.0451069 30.6559232, 104.0449744 30.6557634, 104.045012 30.6556434, 104.0452373 30.6553527), (104.0452373 30.6553527, 104.0445345 30.6550435, 104.0452373 30.6553527))"
37129338,unclassified,551.77,"MULTILINESTRING ((104.0470419 30.6548188, 104.0472307 30.6555978, 104.0470419 30.6548188), (104.0470419 30.6548188, 104.0460849 30.6549004, 104.0459025 30.6549974, 104.0452373 30.6553527, 104.0459025 30.6549974, 104.0460849 30.6549004, 104.0470419 30.6548188))"
576684236,residential,256.904,"MULTILINESTRING ((104.0483216 30.6554533, 104.0483283 30.6555102, 104.0483216 30.6554533), (104.0483216 30.6554533, 104.04828 30.6550991, 104.0483043 30.6549108, 104.048362 30.6547885, 104.0486151 30.6544287, 104.048362 30.6547885, 104.0483043 30.6549108, 104.04828 30.6550991, 104.0483216 30.6554533))"
619120036,secondary,993.0249999999999,"LINESTRING (104.0498557 30.6552982, 104.0494374 30.6553681, 104.0483283 30.6555102, 104.0478778 30.6555621, 104.0472461 30.6556496, 104.0467512 30.6557834, 104.0463623 30.6559195, 104.0461195 30.6560326, 104.0455971 30.6563102, 104.0452585 30.656531, 104.0449642 30.6567416, 104.0447003 30.6569913, 104.0445183 30.6572096, 104.0443871 30.6574228, 104.0434685 30.658969, 104.0433337 30.6592216, 104.043134 30.6595504, 104.0429836 30.6597539, 104.0427918 30.6599687, 104.0424651 30.6602366, 104.0422168 30.6603794)"
37129321,tertiary,577.702,"MULTILINESTRING ((104.0367092 30.6600907, 104.0378025 30.6615375), (104.0378025 30.6615375, 104.0367092 30.6600907), (104.0367092 30.6600907, 104.0366864 30.660055, 104.0362358 30.6594966, 104.0362036 30.6594274, 104.0362358 30.6594966, 104.0366864 30.660055, 104.0367092 30.6600907), (104.0378025 30.6615375, 104.0378505 30.6616026, 104.0378025 30.6615375))"
37129323,tertiary,279.148,"MULTILINESTRING ((104.0362036 30.6594274, 104.0362358 30.6594966, 104.0366864 30.660055, 104.0367092 30.6600907, 104.0366864 30.660055, 104.0362358 30.6594966, 104.0362036 30.6594274), (104.0362036 30.6594274, 104.0359622 30.6590167, 104.0362036 30.6594274))"
37129322,tertiary,176.802,"LINESTRING (104.0362036 30.6594274, 104.0362358 30.6594966, 104.0366864 30.660055, 104.0367092 30.6600907, 104.0366864 30.660055, 104.0362358 30.6594966, 104.0362036 30.6594274)"
37129332,tertiary,702.0160000000001,"MULTILINESTRING ((104.0362036 30.6594274, 104.0360266 30.6595196, 104.0356886 30.659529, 104.035415 30.6594135, 104.0350781 30.6590098, 104.035415 30.6594135, 104.0356886 30.659529, 104.0360266 30.6595196, 104.0362036 30.6594274), (104.0362036 30.6594274, 104.0368205 30.6592382, 104.0376091 30.6591551, 104.0378412 30.6591212, 104.0381984 30.6590982, 104.0383974 30.6590998, 104.0381984 30.6590982, 104.0378412 30.6591212, 104.0376091 30.6591551, 104.0368205 30.6592382, 104.0362036 30.6594274))"
299409721,unclassified,410.686,"LINESTRING (104.0384399 30.6576334, 104.0382653 30.6576343, 104.037758 30.6578283, 104.0374024 30.6579654, 104.0371709 30.6580743, 104.0350781 30.6590098, 104.0350051 30.6590503, 104.0346844 30.6592321, 104.0346167 30.65927)"
37129325,unclassified,52.772999999999996,"LINESTRING (104.0350781 30.6590098, 104.0350051 30.6590503, 104.0346844 30.6592321, 104.0346167 30.65927)"
37129327,unclassified,52.772999999999996,"LINESTRING (104.0350781 30.6590098, 104.0350051 30.6590503, 104.0346844 30.6592321, 104.0346167 30.65927)"
584723968,service,137.318,"LINESTRING (104.0470255 30.6542015, 104.0470419 30.6548188, 104.0470255 30.6542015)"
211826202,primary,346.54099999999994,"LINESTRING (104.0649772 30.6606999, 104.0651329 30.6607046, 104.0669838 30.6607604, 104.0684058 30.6608005, 104.0685982 30.6608008)"
337498608,secondary,1258.484,"MULTILINESTRING ((104.0697759 30.6626423, 104.0684338 30.6626363, 104.0697759 30.6626423), (104.0697759 30.6626423, 104.0698379 30.6626389), (104.0698379 30.6626389, 104.0697759 30.6626423), (104.0703801 30.6626501, 104.0698379 30.6626389), (104.0698379 30.6626389, 104.0703801 30.6626501), (104.0705061 30.6626395, 104.0703801 30.6626501), (104.0703801 30.6626501, 104.0705061 30.6626395), (104.0710758 30.6626074, 104.0708097 30.6626281, 104.0705061 30.6626395), (104.0705061 30.6626395, 104.0708097 30.6626281, 104.0710758 30.6626074), (104.0710758 30.6626074, 104.0714277 30.6625451, 104.0718432 30.6623919), (104.0718432 30.6623919, 104.0714277 30.6625451, 104.0710758 30.6626074), (104.0718432 30.6623919, 104.0720103 30.6623145), (104.0720103 30.6623145, 104.0718432 30.6623919), (104.0727788 30.6619584, 104.0720103 30.6623145), (104.0720103 30.6623145, 104.0727788 30.6619584), (104.073468 30.6616463, 104.0727788 30.6619584), (104.0727788 30.6619584, 104.073468 30.6616463), (104.073468 30.6616463, 104.0741674 30.6613135, 104.0745755 30.6610925, 104.0741674 30.6613135, 104.073468 30.6616463))"
574510761,primary,1950.0739999999998,"LINESTRING (104.0787664 30.6592711, 104.0773405 30.6599308, 104.0763136 30.6604036, 104.0760769 30.6605126, 104.0752967 30.6608729, 104.0750689 30.6609713, 104.0748056 30.6610575, 104.0746748 30.6610825, 104.0745755 30.6610925, 104.0732431 30.6610772, 104.0719434 30.6610418, 104.0711377 30.6609855, 104.0696102 30.660957, 104.0654027 30.6608521, 104.061106 30.6607803, 104.0596256 30.6607515, 104.0589031 30.6607504)"
